epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.0759,1.57832,2.88542,1.29484,0.00335,0.94624,0.19224,0.08438,1.26766,3.26989,1.05394,0.00042,0.00042,0.00042
2,82.7134,1.48409,1.73675,1.18524,0.26613,0.02151,0.21772,0.09616,1.34803,3.20316,1.15052,0.000842972,0.000842972,0.000842972
3,124.366,1.51926,1.60344,1.23576,0.30368,0.06452,0.07701,0.03115,1.48738,3.30616,1.25393,0.00124852,0.00124852,0.00124852
4,167.06,1.57613,1.53262,1.2401,0.03492,0.55914,0.03054,0.01468,1.67629,4.93294,1.34598,0.00163664,0.00163664,0.00163664
5,207.085,1.52176,1.43702,1.24663,0.76375,0.6605,0.75347,0.36367,1.56869,1.94253,1.20553,0.0018416,0.0018416,0.0018416
6,248.204,1.54221,1.41852,1.21368,0.79403,0.82796,0.84677,0.38896,1.53854,1.76973,1.23833,0.001802,0.001802,0.001802
7,289.302,1.54564,1.34251,1.23618,0.75341,0.6129,0.73906,0.41868,1.45223,1.68663,1.16269,0.0017624,0.0017624,0.0017624
8,330.251,1.49395,1.25046,1.2451,0.25787,0.25806,0.12587,0.05931,1.99577,3.1569,1.64038,0.0017228,0.0017228,0.0017228
9,370.857,1.45827,1.17858,1.20904,0.89644,0.76344,0.83422,0.46414,1.42637,1.33786,1.13571,0.0016832,0.0016832,0.0016832
10,412.582,1.5435,1.21772,1.23652,0.85814,0.74194,0.87579,0.50813,1.38671,1.18525,1.16371,0.0016436,0.0016436,0.0016436
11,453.931,1.5045,1.18206,1.20724,0.86206,0.7957,0.87203,0.48272,1.49698,1.31113,1.1874,0.001604,0.001604,0.001604
12,494.193,1.46044,1.06606,1.16338,0.89957,0.86682,0.92474,0.53243,1.42604,1.07663,1.13993,0.0015644,0.0015644,0.0015644
13,533.913,1.44781,1.11505,1.17075,0.94912,0.87097,0.94031,0.51836,1.36831,1.17571,1.12127,0.0015248,0.0015248,0.0015248
14,573.978,1.47054,1.0283,1.17205,0.95188,0.83871,0.93707,0.52408,1.40601,1.0645,1.12988,0.0014852,0.0014852,0.0014852
15,613.594,1.44016,1.00677,1.17375,0.92978,0.85425,0.91716,0.52444,1.39486,0.98332,1.14172,0.0014456,0.0014456,0.0014456
16,653.137,1.37719,0.95143,1.1734,0.90497,0.81924,0.90492,0.52323,1.36673,1.0767,1.11763,0.001406,0.001406,0.001406
17,693.014,1.38342,0.94351,1.15196,0.93964,0.83699,0.91192,0.51504,1.29611,1.00642,1.09984,0.0013664,0.0013664,0.0013664
18,733.402,1.37314,0.94037,1.12826,0.84905,0.87097,0.91001,0.52955,1.34438,0.90459,1.11323,0.0013268,0.0013268,0.0013268
19,772.832,1.33309,0.86831,1.12942,0.89911,0.86243,0.91308,0.53532,1.37791,0.94241,1.11545,0.0012872,0.0012872,0.0012872
20,812.453,1.30708,0.84377,1.12262,0.95268,0.86601,0.92355,0.5349,1.38495,0.88106,1.14666,0.0012476,0.0012476,0.0012476
21,851.87,1.31574,0.83834,1.13082,0.91236,0.89555,0.92963,0.5269,1.37615,0.84329,1.11625,0.001208,0.001208,0.001208
22,892.679,1.24086,0.84301,1.09101,0.88598,0.87097,0.90454,0.52559,1.3868,0.89803,1.14198,0.0011684,0.0011684,0.0011684
23,935.7,1.3502,0.84425,1.14661,0.93382,0.91041,0.95556,0.55936,1.28987,0.88256,1.08546,0.0011288,0.0011288,0.0011288
24,977.493,1.27405,0.8518,1.09162,0.89001,0.89247,0.933,0.55194,1.33554,0.85972,1.10989,0.0010892,0.0010892,0.0010892
25,1018.29,1.28115,0.79932,1.11373,0.93198,0.88397,0.93091,0.56671,1.29218,0.8309,1.1063,0.0010496,0.0010496,0.0010496
26,1061.53,1.25154,0.79202,1.09877,0.95323,0.89247,0.92333,0.56183,1.30875,0.77911,1.11593,0.00101,0.00101,0.00101
27,1104.4,1.28352,0.76269,1.11672,0.96498,0.88881,0.95158,0.57734,1.31379,0.77016,1.10737,0.0009704,0.0009704,0.0009704
28,1146.57,1.25123,0.76271,1.08522,0.91442,0.90323,0.93712,0.55164,1.33996,0.8062,1.11203,0.0009308,0.0009308,0.0009308
29,1190.58,1.26854,0.78814,1.12529,0.92226,0.92473,0.93817,0.55698,1.3365,0.83136,1.11994,0.0008912,0.0008912,0.0008912
30,1233.89,1.22508,0.75158,1.09965,0.97773,0.86022,0.94206,0.57696,1.29872,0.80121,1.09588,0.0008516,0.0008516,0.0008516
31,1277.82,1.23644,0.7493,1.09193,0.9339,0.95699,0.97205,0.57419,1.2862,0.79805,1.08262,0.000812,0.000812,0.000812
32,1320.57,1.22022,0.75664,1.09229,0.95464,0.90521,0.95369,0.60066,1.21799,0.74055,1.05397,0.0007724,0.0007724,0.0007724
33,1365.12,1.1754,0.73417,1.05825,0.9397,0.90323,0.9249,0.58609,1.25237,0.76307,1.0662,0.0007328,0.0007328,0.0007328
34,1411.98,1.16123,0.7043,1.06401,0.94184,0.87072,0.92753,0.56487,1.26677,0.7903,1.10291,0.0006932,0.0006932,0.0006932
35,1455.05,1.14168,0.68407,1.0491,0.96284,0.87097,0.94186,0.57224,1.28734,0.75577,1.09198,0.0006536,0.0006536,0.0006536
36,1498.75,1.13029,0.66737,1.0507,0.94574,0.93707,0.97099,0.60635,1.24437,0.71176,1.06275,0.000614,0.000614,0.000614
37,1541.94,1.17359,0.67577,1.04674,0.9528,0.86833,0.93979,0.5712,1.34957,0.70711,1.10568,0.0005744,0.0005744,0.0005744
38,1584.08,1.15988,0.66503,1.06076,0.95189,0.89247,0.95591,0.58178,1.27533,0.68922,1.0818,0.0005348,0.0005348,0.0005348
39,1625.42,1.10866,0.66602,1.03993,0.95026,0.90323,0.96223,0.60238,1.26965,0.70098,1.08832,0.0004952,0.0004952,0.0004952
40,1667.54,1.13416,0.64327,1.0361,0.95375,0.91398,0.95158,0.60395,1.25976,0.68329,1.0839,0.0004556,0.0004556,0.0004556
41,1711.98,1.12928,0.67161,1.05805,0.95436,0.91398,0.94737,0.58752,1.31546,0.69932,1.07933,0.000416,0.000416,0.000416
42,1755.6,1.12795,0.64044,1.05301,0.95384,0.92473,0.97977,0.60388,1.2747,0.68759,1.0944,0.0003764,0.0003764,0.0003764
43,1798.76,1.07857,0.60134,1.01952,0.96341,0.92473,0.97952,0.60899,1.24395,0.679,1.07329,0.0003368,0.0003368,0.0003368
44,1841.79,1.07513,0.62567,1.03004,0.93712,0.91398,0.96341,0.62176,1.2408,0.6814,1.07908,0.0002972,0.0002972,0.0002972
